Algorithm,InputType,Size,ExecutionTimeNs,MaxRecursionDepth
MergeSort,Random,10,1663200,5
QuickSort,Random,10,1737400,7
DeterministicSelect,Random,10,4651000,4
ClosestPair,RandomPoints,10,10841500,3
MergeSort,Random,50,37500,7
QuickSort,Random,50,20100,11
DeterministicSelect,Random,50,46300,6
ClosestPair,RandomPoints,50,243100,6
MergeSort,Random,100,51900,8
QuickSort,Random,100,48900,12
DeterministicSelect,Random,100,184700,7
ClosestPair,RandomPoints,100,313800,7
MergeSort,Random,500,305700,10
QuickSort,Random,500,271400,19
DeterministicSelect,Random,500,405500,8
ClosestPair,RandomPoints,500,1608800,9
MergeSort,Random,1000,142100,11
QuickSort,Random,1000,123600,22
DeterministicSelect,Random,1000,293800,9
ClosestPair,RandomPoints,1000,2314900,10
MergeSort,Random,5000,874700,14
QuickSort,Random,5000,675600,33
DeterministicSelect,Random,5000,1632700,12
ClosestPair,RandomPoints,5000,8589900,12
